Date,AXISBANK.NS,HDFCBANK.NS,ICICIBANK.NS,KOTAKBANK.NS
2025-02-03,987.7933959960938,814.3417358398438,1233.0108642578125,375.8171081542969
2025-02-04,1013.6513061523438,835.161376953125,1247.9683837890625,384.59185791015625
2025-02-05,1011.654541015625,843.363037109375,1247.476318359375,381.2514953613281
2025-02-06,1019.0425415039062,846.299072265625,1252.1014404296875,382.08905029296875
2025-02-07,1022.43701171875,840.9122314453125,1236.8487548828125,384.74139404296875
2025-02-10,1010.1070556640625,832.6619262695312,1242.4576416015625,390.9036560058594
2025-02-11,1005.7640991210938,825.6978759765625,1232.764892578125,382.6175537109375
2025-02-12,1005.2649536132812,828.3184814453125,1231.830078125,387.6729736328125
2025-02-13,1006.5628051757812,823.9022216796875,1228.976318359375,393.4263916015625
2025-02-14,995.8801879882812,822.5191040039062,1239.9976806640625,389.3581237792969
2025-02-17,991.3375854492188,833.4384765625,1231.1904296875,387.9421691894531
2025-02-18,992.5357055664062,836.2047119140625,1223.2196044921875,391.5418395996094
2025-02-19,1009.7077026367188,838.21875,1241.5228271484375,395.859375
2025-02-20,1015.5482177734375,818.7579956054688,1230.009521484375,392.9776611328125
2025-02-21,1007.3116455078125,821.378662109375,1213.2806396484375,389.48773193359375
2025-02-24,1008.4097900390625,813.9049072265625,1198.9136962890625,392.0902404785156
2025-02-25,1007.4613037109375,816.4528198242188,1204.6212158203125,392.3196105957031
2025-02-27,1015.0490112304688,825.3582153320312,1202.9482421875,388.3908996582031
2025-02-28,1013.90087890625,840.7423706054688,1184.8909912109375,379.49652099609375
2025-03-03,1005.6143188476562,825.7706909179688,1186.9573974609375,381.8198547363281
2025-03-04,1000.1732177734375,829.8715209960938,1191.0904541015625,380.4637145996094
2025-03-05,1012.802734375,820.1654052734375,1196.3057861328125,385.5091857910156
2025-03-06,1032.420654296875,820.7477416992188,1198.618408203125,383.2357482910156
2025-03-07,1035.965087890625,819.8013916015625,1195.17431640625,385.9678649902344
2025-03-10,1034.1678466796875,818.9521484375,1195.469482421875,383.2457275390625
2025-03-11,1023.9844360351562,817.9815673828125,1225.5321044921875,385.9280090332031
2025-03-12,1009.5579833984375,830.4295654296875,1224.105224609375,395.37078857421875
2025-03-13,1008.5595703125,828.2214965820312,1230.1080322265625,395.8793029785156
2025-03-17,1032.470703125,830.0656127929688,1248.755615234375,397.4747314453125
2025-03-18,1032.470703125,830.0656127929688,1248.755615234375,397.4747314453125
2025-03-19,1050.3416748046875,846.42041015625,1292.152099609375,403.14837646484375
2025-03-20,1052.637939453125,858.3831787109375,1300.6148681640625,405.96026611328125
2025-03-21,1068.4122314453125,859.15966796875,1321.6734619140625,414.6053466796875
2025-03-24,1096.067138671875,873.5489501953125,1336.4835205078125,433.97955322265625
2025-03-25,1116.7337646484375,883.958740234375,1322.263916015625,432.7530517578125
2025-03-26,1094.4698486328125,876.7277221679688,1314.58837890625,427.74749755859375
2025-03-27,1096.56640625,885.8514404296875,1315.326416015625,424.5068664550781
2025-03-28,1100.21044921875,887.2345581054688,1326.8397216796875,432.99237060546875
2025-04-01,1083.8370361328125,857.9464111328125,1297.4166259765625,427.9468994140625
2025-04-02,1082.68896484375,872.0444946289062,1310.0125732421875,429.68194580078125
2025-04-03,1088.0802001953125,871.0496215820312,1308.3397216796875,425.2945556640625
2025-04-04,1089.5279541015625,881.9447631835938,1313.998046875,425.16497802734375
2025-04-07,1046.2481689453125,853.0205078125,1267.009765625,406.3990173339844
2025-04-08,1076.099609375,858.5773315429688,1279.1627197265625,409.84906005859375
2025-04-09,1059.9261474609375,856.5632934570312,1280.04833984375,409.3605041503906
2025-04-11,1067.214111328125,876.8247680664062,1290.7252197265625,421.02685546875
2025-04-15,1110.9930419921875,905.0452270507812,1328.66015625,422.8216857910156
2025-04-16,1159.414306640625,911.4027099609375,1334.7613525390625,423.4598388671875
2025-04-17,1188.8663330078125,925.3309326171875,1384.2589111328125,436.3626708984375
2025-04-21,1221.0140380859375,935.231201171875,1387.3094482421875,446.9920654296875
2025-04-22,1214.8240966796875,952.0227661132812,1393.9024658203125,452.4563293457031
2025-04-23,1204.940185546875,933.6782836914062,1401.676513671875,444.12030029296875
2025-04-24,1205.1397705078125,930.2326049804688,1380.32275390625,443.3226013183594
2025-04-25,1164.4061279296875,927.5148315429688,1382.3892822265625,439.6133117675781
2025-04-28,1190.863037109375,931.882568359375,1406.00634765625,443.84112548828125
2025-04-29,1185.3720703125,926.3502197265625,1406.990478515625,439.7329406738281
2025-04-30,1183.07568359375,934.2120361328125,1404.2349853515625,440.3511657714844
2025-05-02,1181.4783935546875,932.7076416015625,1407.2855224609375,435.0863342285156
2025-05-05,1171.2947998046875,939.9386596679688,1406.5968017578125,415.781982421875
2025-05-06,1159.5140380859375,937.4635620117188,1408.7615966796875,413.60821533203125
2025-05-07,1159.414306640625,944.2092895507812,1412.5010986328125,417.7762451171875
2025-05-08,1170.29638671875,935.91064453125,1412.599365234375,421.3060607910156
2025-05-09,1149.230712890625,917.0807495117188,1366.742919921875,419.4114990234375
2025-05-12,1201.0465087890625,949.8388671875,1425.39208984375,427.7674255371094
2025-05-13,1191.6617431640625,933.04736328125,1407.777587890625,421.9043273925781
2025-05-14,1193.55859375,927.2236938476562,1403.44775390625,417.2776794433594
2025-05-15,1207.136474609375,938.4827880859375,1427.6553955078125,420.0696105957031
2025-05-16,1206.8370361328125,938.9195556640625,1430.8043212890625,420.4285888671875
2025-05-19,1200.8468017578125,940.8607177734375,1425.8841552734375,421.02685546875
2025-05-20,1193.858154296875,929.3104858398438,1415.25634765625,416.8189697265625
2025-05-21,1195.85498046875,935.0856323242188,1421.652587890625,413.0697937011719
2025-05-22,1186.5699462890625,931.737060546875,1419.0941162109375,411.97296142578125
2025-05-23,1208.1348876953125,938.3856201171875,1426.67138671875,418.9528503417969
2025-05-26,1213.2266845703125,941.5886840820312,1437.2989501953125,416.659423828125
2025-05-27,1193.6585693359375,934.843017578125,1423.3255615234375,414.2862854003906
2025-05-28,1192.7598876953125,933.484130859375,1430.6075439453125,413.6680603027344
2025-05-29,1199.74853515625,935.42529296875,1433.264404296875,415.1239013671875
2025-05-30,1190.263916015625,943.8696899414062,1422.7352294921875,413.7478332519531
2025-06-02,1192.46044921875,937.65771484375,1427.360107421875,411.5342102050781
2025-06-03,1179.5814208984375,934.0179443359375,1414.961181640625,407.7251892089844
2025-06-04,1169.0985107421875,942.0740356445312,1408.171142578125,408.08416748046875
2025-06-05,1157.117919921875,946.1505737304688,1431.5916748046875,406.8078308105469
2025-06-06,1192.66015625,960.2728881835938,1436.413330078125,413.4885559082031
2025-06-09,1217.9190673828125,960.3699951171875,1411.91064453125,426.4113464355469
